"user_id","gui_id","task_number","gui_number","nlr_query","timestamp","selected_gui_id_initial","selected_gui_id_reselected","rank_methods","ranks_initial","ranks_reselected"
"5eba2443-ac0c-497c-b6c9-9e849f5d96f4","b2b09115-aa7d-499a-9068-170009360da2","3","2","view of user profile","2023-07-24 15:42:17","gui_13800","gui_65801","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[0, 3, 0, 54, 77, 64, 61]","[684, 38, 34, 0, 0, 0, 1]"
"2010286b-dca2-4ebf-a28d-337176063436","e483e637-b083-443c-9c5c-439423a8d8d5","3","3","address list","2023-07-24 15:49:58","gui_8090","gui_47542","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[309, 2, 7, 17, 9, 18, 16, 11]","[201, 78, 30, 7, 17, 1, 2, 1]"
"4e32d6d3-2d30-442b-a8b5-a44e799b9d5d","991e0b79-53e5-468b-aabf-a16d2a0d8f8d","1","1","A product review that lists four products with its naming and price below the image","2023-07-24 16:23:05","gui_22031","gui_39425","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[32, 38, 4, 62, 37, 18, 16, 14]","[348, 10, 14, 2, 4, 4, 6, 0]"
"071310c0-b11d-4daf-980a-7f7cfe6bfdb6","70afc428-de74-4884-994a-44d699393e74","1","2","Product overview for online shop","2023-07-24 16:32:05","gui_47015","gui_25967","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[61, 6, 2, 1, 8, 9, 5, 5, 5]","[97, 258, 37, 121, 4, 3, 4, 7, 11]"
"34ddcd86-c600-434c-84b0-b60aa1680254","94effe6e-1b1b-4a08-b9d6-f176c6b3f6b4","1","3","Checkout page for purchase confirmation","2023-07-24 16:39:19","gui_4567","gui_37679","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[26, 11, 5, 43, 19, 7, 6, 7]","[33, 5, 3, 42, 32, 1, 0, 0]"
"436db284-fba6-46ac-b700-74b111fde0c0","7cf7300d-a53f-442d-a73c-84bbc7a959dd","2","1","News page","2023-07-24 16:44:32","gui_37241","gui_22914","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11"", ""DFB12""]","[26, 94, 6, 5, 1, 2, 0, 1, 2, 3, 4, 4]","[593, 131, 36, 6, 10, 10, 10, 11, 8, 8, 9, 8]"
"27a1d22d-bcd0-4311-bf4d-1bc9bae2591e","5dc11851-0555-4da2-9ee2-c726899f175d","2","2","Article news page for a single article","2023-07-24 16:50:47","gui_7471","gui_57412","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[934, 18, 23, 44, 8, 8, 13, 24]","[-1, 22, 141, 41, 48, 75, 23, 0]"
"39d01473-347b-4cdd-8155-f254c522242f","4220fe9d-b29a-486d-8ef3-d3245f70c7cb","2","3","comment section","2023-07-24 16:57:00","gui_29062","gui_66390","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6""]","[1, 4, 0, 32, 10, 1]","[119, 69, 28, 31, 41, 0]"
"293eaedb-a449-4d15-a15e-708e189f551a","c22b6670-c1c0-469d-be96-3ee6369e5af3","1","1","product website","2023-07-24 17:53:42","gui_7328","gui_22031","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6""]","[61, 125, 16, 97, 43, 91]","[107, 7, 4, 78, 28, 8]"
"6a34ce21-3fac-4651-934e-66a61a45287f","e29695fd-0079-43dc-9901-523e751a3e0f","1","2","product detail page","2023-07-24 18:00:27","gui_47015","gui_23924","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10""]","[13, 18, 1, 65, 46, 68, 55, 30, 33, 28]","[849, 119, 61, 51, 35, 10, 11, 11, 12, 0]"
"c6b7a16c-a25a-4a68-88a9-5f48fc7e6424","15a0e403-e906-4a77-8c53-9655eedbe25c","1","3","checkout page","2023-07-24 18:06:17","gui_56787","gui_56787","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[0, 11, 2, 25, 12]","[0, 11, 2, 25, 12]"
"65da3a3a-3e12-45cf-a444-30517700e5f1","0e0fee74-9017-43f5-bcf2-6b5679c8b954","3","1","create new user profile","2023-07-24 18:12:01","gui_68744","gui_50499","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[8, 0, 0, 10, 52, 75, 57, 17]","[405, 12, 27, 39, 0, 1, 1, 1]"
"fc7622b8-6ea1-4679-8b9f-ce3eaf97b9d8","7e6371c5-0e1f-4d89-947e-4458d247f06a","3","2","user profile page","2023-07-24 18:17:47","gui_13800","gui_50314","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[2, 10, 0, 18, 31, 32, 20, 23, 31]","[363, 114, 71, 58, 51, 58, 41, 4, 14]"
"5e089027-9f22-41e3-93a7-1f8f44a83dfd","cc705c58-d996-4cda-bffe-048025add3ae","3","3","contact list","2023-07-24 18:22:34","gui_8090","gui_59279","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6""]","[21, 0, 1, 21, 13, 17]","[99, 16, 11, 19, 1, 1]"
"d9852030-b411-43b7-9069-f7a0ccb54bf0","53c6cf99-1686-406e-a020-d2975a4d24f7","2","1","news app","2023-07-25 09:54:14","gui_37241","gui_22914","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[8, 65, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[610, 136, 29, 0, 0, 2, 2, 2, 2, 2, 3]"
"e33a6072-6ddd-42b0-ae6a-654287f5af0b","df06d64d-7f6d-4d1d-9f52-5554a3b703b5","2","2","Article view in a news app","2023-07-25 10:01:14","gui_50663","gui_5542","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[190, 122, 17, 116, 81, 90, 88, 74]","[-1, 39, 149, 5, 0, 1, 3, 1]"
"06b244e5-bbcd-4260-b07c-9f8e829f21e6","914df24d-d4f9-4e04-a316-ec0fb33c9489","2","3","Comment section of a news article","2023-07-25 10:06:42","gui_29062","gui_42787","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[1, 15, 1, 51, 10, 6, 3]","[98, 5, 4, 0, 0, 0, 0]"
"9fd5f4b7-2a1e-4541-bea2-647b21544f82","c6c4b804-c668-4923-b30d-409483e5b3c1","3","1","Create new user profile","2023-07-25 10:12:31","gui_68744","gui_50499","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[8, 0, 0, 100, 71]","[405, 12, 27, 0, 0]"
"ad13b61d-a333-47c2-9915-1a3a7343ad23","fb871c49-627f-4bde-affc-e68f89834dc8","3","2","viewing a user profile","2023-07-25 10:16:51","gui_13800","gui_13800","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4""]","[3, 3, 0, 41]","[3, 3, 0, 41]"
"05c1887b-4dcb-46ba-81cc-4f62b15afba3","6eb1cc47-d594-4a48-9c72-6053e3a25233","3","3","overview of different contacts","2023-07-25 10:20:49","gui_48378","gui_8090","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6""]","[6, 0, 0, 59, 12, 22]","[14, 2, 3, 33, 3, 0]"
"5c82c021-9485-420c-b2b1-242c9e217704","d188d486-e519-41d4-890a-ab2734d54272","1","1","product overview of an online shop","2023-07-25 11:25:20","gui_32427","gui_39415","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[53, 222, 16, 40, 27, 20, 21]","[228, 193, 48, 0, 1, 3, 1]"
"bde1dd0d-2913-4831-a152-564a7bfb8fe2","1e55217c-8791-4045-be0a-55c20f3da3e3","1","2","product description page of an online shop application","2023-07-25 11:33:42","gui_22747","gui_47018","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[258, 6, 5, 44, 56, 44, 35, 21]","[62, 19, 4, 91, 3, 3, 5, 0]"
"c2a6fcd1-3d81-40db-9524-62de0b48ab60","d42c3cba-430b-438a-bc37-8ee85ebc194e","1","3","checkout page to buy a product","2023-07-25 11:40:58","gui_69333","gui_1109","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[5, 2, 2, 17, 17, 14, 8]","[1, -1, 250, 3, 42, 2, 3]"
"926a4a6e-91f8-4a95-88b1-0b9ba222b33b","134ed8aa-026e-4177-9c3c-77b122a0082b","2","1","A news overview page","2023-07-25 12:00:14","gui_37241","gui_24019","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[37, 70, 4, 6, 1, 2, 2, 5]","[81, 143, 17, 35, 25, 31, 16, 0]"
"43ef7160-03e1-4779-b334-5656db71cbba","52116b3e-1295-4020-aa0a-f333bd03a77e","2","2","The page of a news article","2023-07-25 12:06:28","gui_23825","gui_61877","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[972, 42, 39, 0, 0, 0, 0, 3]","[174, 269, 67, 75, 1, 1, 1, 0]"
"35621d16-e7a3-459d-a9a8-0c4350877bc9","d172abbd-8b42-4cc5-b8db-fb5386be6222","2","3","A comment section related to a news article","2023-07-25 12:12:34","gui_29062","gui_29062","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[1, 12, 2, 15, 3, 2, 2]","[1, 12, 2, 15, 3, 2, 2]"
"15fa89cf-b61e-48c7-a062-65660810a117","10e34a88-584d-44ed-8507-25caa1a15fff","1","1","e commerce product page","2023-07-25 13:52:19","gui_4331","gui_4238","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[239, 33, 17, 72, 80]","[985, 54, 59, 144, 1]"
"8662202c-7bec-4a6b-95a8-d43930c9e5d3","bda12fb8-90b9-4004-a466-575a1194ed32","1","2","create a product detail page, with details on one product only.  Features are required: an option to scroll many pictures of that product.","2023-07-25 14:02:43","gui_23888","gui_62337","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[407, 398, 55, 128, 96, 111, 116, 127]","[685, 21, 24, 59, 19, 4, 3, 3]"
"da6d6509-6041-4e44-8ef1-c6416c1fd28b","1581d817-53e0-4015-ba02-5b16f47f1d2d","1","3","checkout page for an online marketplace app","2023-07-25 14:10:05","gui_37679","gui_4567","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[102, 0, 0, 9, 6, 3, 0]","[196, 141, 24, 2, 1, 2, 11]"
"b5ce7d6a-40d6-4ed6-bea1-2a79148b692f","0b8b88e3-3a12-4f9d-b13b-1bce6fd58e35","3","1","online form for personal details","2023-07-25 14:16:47","gui_11648","gui_11840","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[30, 41, 7, 108, 106, 105, 78, 72]","[21, 240, 22, 39, 86, 54, 39, 4]"
"800926f2-d73f-4a5a-9d4a-2c0e11a31b8c","90eab0f5-c080-4aa2-8fb9-5beabc55aaa8","3","2","User profile or your details page","2023-07-25 14:23:30","gui_13800","gui_62147","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10""]","[4, 13, 0, 22, 37, 41, 37, 21, 23, 22]","[763, 25, 31, 20, 27, 42, 35, 34, 25, 28]"
"e469e2c8-b687-4cd5-af71-dc788eb6ec7f","b583859f-775e-483f-b9a1-3858767219a0","3","3","A my friends, or contacts page for a social media app","2023-07-25 14:30:34","gui_32716","gui_44966","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""DFB5"", ""DFB6""]","[499, 0, 5, 0, 0, 0]","[321, 34, 24, 18, 49, 44]"
"893801e8-ab9b-4148-af4d-e80f312a09d7","ae852293-f41f-49ba-8f50-d50958ab573c","2","1","News","2023-07-25 15:23:13","gui_22914","gui_61765","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[7, 196, 19, 3, 2, 8, 5, 2, 2, 2, 3]","[400, 0, 4, 115, 120, 119, 134, 92, 47, 47, 30]"
"76836e84-c6e5-462b-be40-8dc44e236681","f23a881a-4e40-47e7-b693-64d72392c2d3","2","2","Article","2023-07-25 15:36:05","gui_61881","gui_47757","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[73, 7, 1, 64, 70, 49, 31, 24, 17]","[278, 279, 80, 3, 2, 1, 0, 0, 0]"
"ce860717-89b8-419b-821a-9dd9ed2fc335","f4d900e1-0780-4d92-a57d-e37e1f161e08","2","3","Comments","2023-07-25 15:44:18","gui_29075","gui_29075","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[0, 2, 0, 10, 1, 1, 9, 4, 2]","[0, 2, 0, 10, 1, 1, 9, 4, 2]"
"5d7a695f-0af0-44b6-bf65-de2014bccc59","6d3d786d-be2f-4220-83ac-925215c2386d","3","1","Create New User Profile","2023-07-25 15:54:10","gui_15930","gui_66860","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[27, 11, 6, 145, 102, 127, 43, 50, 33, 37, 43]","[303, 76, 54, 62, 113, 91, 103, 73, 80, 47, 19]"
"f22be4a7-6fcc-44d3-8200-c283fbf85470","f26aa814-d6ed-4f98-8eb1-435897bdffe6","3","2","User Profile","2023-07-25 16:02:35","gui_13800","gui_41183","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[62, 6, 2, 35, 43, 39, 39, 48, 49]","[275, 611, 144, 34, 0, 0, 28, 1, 3]"
"59249dba-ac0f-45e7-9194-e8f5d45ce4c7","950cd8ba-6df4-4912-a3f6-508739be094a","3","3","Contacts","2023-07-25 16:10:46","gui_8090","gui_8090","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[9, 3, 1, 42, 26, 24, 16, 10]","[9, 3, 1, 42, 26, 24, 16, 10]"
"3d3fdd9d-f2f3-422b-9e75-e79dd3531c23","00cbdd5f-a63b-4bb6-a3e0-c64e730e0821","1","1","a tiled interface with product images along with name and price","2023-07-25 16:42:54","gui_22031","gui_32429","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[9, 28, 1, 12, 8]","[59, 13, 4, 4, 0]"
"de4388ae-e590-493f-a923-dd844a8817d5","7ef7566a-9dc3-4ed6-9af6-f4db99578821","1","2","product page with details and price","2023-07-25 16:50:57","gui_22747","gui_59872","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W""]","[115, 53, 15]","[22, 8, 2]"
"f0c82b49-5337-44e4-a74a-1f1430319f73","881a1840-c381-4b39-8173-2bd763969e2b","1","3","checkout with itemized products and total amount","2023-07-25 16:56:30","gui_56787","gui_56787","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W""]","[5, 4, 1]","[5, 4, 1]"
"dc1d78d2-1fbe-4bbb-a20f-d7146f592c80","6cc94cf2-a2cd-4afd-aea7-10e1810f81e1","2","1","overview of current news articles","2023-07-25 17:01:33","gui_24019","gui_24019","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W""]","[6, 73, 1]","[6, 73, 1]"
"e0b0826d-692f-44d6-8138-111ba6e9cb13","2fbafd99-9a5e-4e1d-93f0-b79d61df8f0d","2","2","news article","2023-07-25 17:05:59","gui_61881","gui_61881","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W""]","[85, 31, 8]","[85, 31, 8]"
"7ded5a26-b477-4cdf-95e4-0fcb8e0b9ffa","a9ccaaca-a0b6-4af7-abfa-68bcddcc4c0f","2","3","comment section for a news article","2023-07-25 17:10:19","gui_29075","gui_29075","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W""]","[8, 9, 2]","[8, 9, 2]"
"1fe28617-e5cf-4f32-8813-9425455d5b7e","75e0421c-1296-4975-94d1-b7e315afbfad","2","1","news feed page with abstract and image","2023-07-25 18:01:20","gui_37241","gui_32835","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[348, 25, 12, 5, 32, 20, 8, 10]","[-1, 13, 109, 158, 16, 3, 3, 5]"
"58e9bd16-af7e-49fd-b09d-f8f22a49e5dd","bf97ab88-0f63-4b42-91ce-4ed402df2e12","2","2","detail page for news article with image, title and text","2023-07-25 18:11:37","gui_52849","gui_52849","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4""]","[-1, 18, 96, 3]","[-1, 18, 96, 3]"
"8e60d209-6ac8-4d80-9a28-7ce29cb32112","973c8627-d10f-4d11-9171-54eea6278a1f","2","3","A list of comments with username, profile picture and text","2023-07-25 18:17:06","gui_29075","gui_53554","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4""]","[4, 3, 0, 1]","[-1, 9, 283, 0]"
"c9180992-2cb1-44ef-ab85-9898deaf4b11","83234449-552f-405e-8d7d-19de9e9ad916","3","1","create profile page for user","2023-07-25 18:22:48","gui_68744","gui_2835","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[1, 0, 0, 20, 24, 16, 6, 6, 5]","[55, 48, 14, 6, 0, 0, 0, 2, 0]"
"dcc42bc9-cbbe-4a45-b3d0-22e810fe1b57","5e62a1b0-8bdb-43ba-948d-4720a5d5c4c8","3","3","contact list","2023-07-25 18:31:24","gui_13667","gui_59279","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[10, 5, 2, 9, 1]","[99, 16, 11, 2, 2]"
"18102ea1-4e5e-445b-b700-8bc28a3d1b2e","1385d42b-2190-4d14-8903-a64d4c2c3a39","3","2","user profile","2023-07-25 18:37:39","gui_1065","gui_43104","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""DFB5"", ""DFB6""]","[21, 501, 70, 0, 3, 12]","[-1, 95, 337, 10, 13, 2]"
"4f33164b-66cc-4d7e-a7c2-1294e2487bf2","56b1e9c6-8137-42d0-b440-1c8ae8e0187c","1","1","fashion product overview","2023-07-26 10:03:56","gui_22031","gui_39397","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[32, 19, 3, 5, 8, 3, 1, 2, 3]","[573, 154, 150, 24, 22, 16, 14, 18, 4]"
"37bf3fe5-b278-45ae-b25a-629ce4156636","808a0a7a-69e7-4b2d-95af-a65305f30728","1","2","product details fashion","2023-07-26 10:12:13","gui_22747","gui_22747","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10""]","[1, 13, 0, 53, 37, 21, 26, 14, 15, 16]","[1, 13, 0, 53, 37, 21, 26, 14, 15, 16]"
"cd454ab2-3bed-4c4a-b5b1-293fc24989fd","2f5a0a20-95f4-4b72-b55c-7c7fabf6277f","1","3","checkout shop","2023-07-26 10:22:04","gui_69333","gui_69333","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[59, 0, 0, 89, 44, 6, 3, 2]","[59, 0, 0, 89, 44, 6, 3, 2]"
"3643f49a-34f9-472e-aad0-b205213aaee4","9759f300-b042-4dfd-93ab-f1ad609c7260","2","1","news list overview","2023-07-26 10:30:32","gui_24019","gui_24019","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10""]","[4, 36, 0, 23, 21, 24, 19, 20, 22, 22]","[4, 36, 0, 23, 21, 24, 19, 20, 22, 22]"
